python /home/drr342/dl/assignments/hw3/examples/word_language_model/main.py --data /home/drr342/dl/assignments/hw3/examples/word_language_model/data/wikitext-2 --save /home/drr342/dl/assignments/hw3/models/GRU'_'400'_'4'_'16.pt --cuda --model GRU --epochs 10 --emsize 400 --nlayers 4 --bptt 16

| epoch   3 |   800/ 6526 batches | lr 20.00 | ms/batch 38.39 | loss 17.80 | ppl 54008637.52
| epoch   3 |  1000/ 6526 batches | lr 20.00 | ms/batch 38.40 | loss 17.86 | ppl 57263368.95
| epoch   3 |  1200/ 6526 batches | lr 20.00 | ms/batch 38.41 | loss 18.07 | ppl 70302448.76
| epoch   3 |  1400/ 6526 batches | lr 20.00 | ms/batch 38.40 | loss 17.51 | ppl 40121828.74
| epoch   3 |  1600/ 6526 batches | lr 20.00 | ms/batch 38.41 | loss 17.74 | ppl 50732496.60
| epoch   3 |  1800/ 6526 batches | lr 20.00 | ms/batch 38.35 | loss 17.81 | ppl 54501948.44
| epoch   3 |  2000/ 6526 batches | lr 20.00 | ms/batch 38.32 | loss 17.39 | ppl 35853643.94
| epoch   3 |  2200/ 6526 batches | lr 20.00 | ms/batch 38.26 | loss 17.14 | ppl 27814696.27
| epoch   3 |  2400/ 6526 batches | lr 20.00 | ms/batch 38.24 | loss 17.90 | ppl 59120668.82
| epoch   3 |  2600/ 6526 batches | lr 20.00 | ms/batch 38.12 | loss 18.02 | ppl 67127164.86
| epoch   3 |  2800/ 6526 batches | lr 20.00 | ms/batch 38.08 | loss 17.43 | ppl 37202218.62
| epoch   3 |  3000/ 6526 batches | lr 20.00 | ms/batch 38.08 | loss 17.18 | ppl 28961149.34
| epoch   3 |  3200/ 6526 batches | lr 20.00 | ms/batch 38.10 | loss 17.64 | ppl 45585801.24
| epoch   3 |  3400/ 6526 batches | lr 20.00 | ms/batch 38.10 | loss 17.39 | ppl 35682194.63
| epoch   3 |  3600/ 6526 batches | lr 20.00 | ms/batch 37.94 | loss 17.38 | ppl 35271287.73
| epoch   3 |  3800/ 6526 batches | lr 20.00 | ms/batch 38.06 | loss 17.82 | ppl 54965049.13
| epoch   3 |  4000/ 6526 batches | lr 20.00 | ms/batch 38.09 | loss 17.56 | ppl 42145213.80
| epoch   3 |  4200/ 6526 batches | lr 20.00 | ms/batch 38.07 | loss 17.28 | ppl 31882424.97
| epoch   3 |  4400/ 6526 batches | lr 20.00 | ms/batch 38.09 | loss 18.00 | ppl 65911791.60
| epoch   3 |  4600/ 6526 batches | lr 20.00 | ms/batch 38.08 | loss 17.84 | ppl 56158969.39
| epoch   3 |  4800/ 6526 batches | lr 20.00 | ms/batch 38.08 | loss 17.93 | ppl 61037160.63
| epoch   3 |  5000/ 6526 batches | lr 20.00 | ms/batch 38.05 | loss 17.50 | ppl 39666400.14
| epoch   3 |  5200/ 6526 batches | lr 20.00 | ms/batch 38.07 | loss 17.11 | ppl 26991760.57
| epoch   3 |  5400/ 6526 batches | lr 20.00 | ms/batch 38.08 | loss 17.95 | ppl 62536117.36
| epoch   3 |  5600/ 6526 batches | lr 20.00 | ms/batch 38.07 | loss 17.38 | ppl 35431899.49
| epoch   3 |  5800/ 6526 batches | lr 20.00 | ms/batch 38.09 | loss 18.05 | ppl 69366329.55
| epoch   3 |  6000/ 6526 batches | lr 20.00 | ms/batch 38.10 | loss 17.95 | ppl 62319167.63
| epoch   3 |  6200/ 6526 batches | lr 20.00 | ms/batch 38.09 | loss 17.52 | ppl 40749639.81
| epoch   3 |  6400/ 6526 batches | lr 20.00 | ms/batch 38.10 | loss 17.73 | ppl 50059704.69
-----------------------------------------------------------------------------------------
| end of epoch   3 | time: 257.49s | valid loss 17.45 | valid ppl 38039507.32
-----------------------------------------------------------------------------------------
| epoch   4 |   200/ 6526 batches | lr 5.00 | ms/batch 38.37 | loss  8.44 | ppl  4643.82
| epoch   4 |   400/ 6526 batches | lr 5.00 | ms/batch 38.12 | loss  8.22 | ppl  3696.92
| epoch   4 |   600/ 6526 batches | lr 5.00 | ms/batch 38.12 | loss  8.21 | ppl  3675.26
| epoch   4 |   800/ 6526 batches | lr 5.00 | ms/batch 38.10 | loss  8.16 | ppl  3505.42
| epoch   4 |  1000/ 6526 batches | lr 5.00 | ms/batch 38.08 | loss  8.16 | ppl  3500.33
| epoch   4 |  1200/ 6526 batches | lr 5.00 | ms/batch 38.10 | loss  8.19 | ppl  3602.20
| epoch   4 |  1400/ 6526 batches | lr 5.00 | ms/batch 38.13 | loss  8.12 | ppl  3370.56
| epoch   4 |  1600/ 6526 batches | lr 5.00 | ms/batch 38.11 | loss  8.20 | ppl  3647.64
| epoch   4 |  1800/ 6526 batches | lr 5.00 | ms/batch 38.11 | loss  8.14 | ppl  3428.06
| epoch   4 |  2000/ 6526 batches | lr 5.00 | ms/batch 38.11 | loss  8.19 | ppl  3599.99
